run_id,particle,energy_keV,x,y,z,pitch_deg,phi_deg,steps,dt,method,energy_mean_err,energy_max_err,energy_rms_err,mu_mean_err,mu_max_err,mu_rms_err
20250906_135202,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,8.910702314241066e-12,8.959503635504821e-12,8.910724668695899e-12,0.10222829824270822,0.20854293613324731,0.12602070477641394
20250906_140709,electron,150000000.0,5.0,0.0,0.0,60.0,90.0,10000000,12.1,RK4,0.910746559702146,0.9127527836847629,0.9107473085126377,0.9478126174268425,0.9543836919133484,0.9478156817237776
20250906_140709,electron,150000000.0,5.0,0.0,0.0,60.0,90.0,10000000,12.1,RK45,0.04168744616126473,0.041895536735181226,0.04168761850394507,0.26825258459864965,0.4686957151224376,0.284504849098178
20250906_140709,electron,150000000.0,5.0,0.0,0.0,60.0,90.0,10000000,12.1,RKG,950.5528961186484,950.5528961186483,950.5528961186484,8.326992706061356e+21,8.452942379345402e+21,8.327308097730842e+21
20250906_140709,electron,150000000.0,5.0,0.0,0.0,60.0,90.0,10000000,12.1,PS,4.743138458137006e-12,4.784296527125158e-12,4.743196498570918e-12,0.2294101909325651,0.4451031483502244,0.2508999432059379
20250906_141944,electron,150000000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,RK4,0.3161924226335488,0.3174595210309434,0.3161932699737807,0.41566133844053266,0.4992977444418976,0.4195736412641119
20250906_141944,electron,150000000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,RK45,0.039151949082229145,0.03934602921481867,0.039152110311869624,0.17386467120327387,0.31289861860132706,0.1983520235888717
20250906_141944,electron,150000000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,RKG,942.0569574524541,942.0569574524541,942.0569574524537,6.122957428828175e+21,6.215570033860619e+21,6.123189340855535e+21
20250906_141944,electron,150000000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,8.172077897731921e-13,8.322714383644612e-13,8.172696583258077e-13,0.13947714616206514,0.28710455324270595,0.17243995337149
20250906_142340,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,RK4,2.5521659424416857e-05,2.560924160658736e-05,2.5521712988977278e-05,0.04885537576744835,0.09268776468055077,0.05524576956668294
20250906_142340,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,RK45,3.6008858175130815e-06,3.6333718232269644e-06,3.6009520262064238e-06,0.048843743723504196,0.09268026066653814,0.0552368567386158
20250906_142340,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,RKG,2159.720345308263,2159.720349610835,2159.720345308263,14601216895.881832,14799339139.295135,14601761587.41547
20250906_142340,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,PS,1.9247855329660467e-15,2.0889145319011357e-15,1.9276172487605927e-15,0.048840063444188175,0.09267675257928018,0.05523364810102129
20250906_143639,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,RK4,2.5521659424416857e-05,2.560924160658736e-05,2.5521712988977278e-05,0.04885537576744835,0.09268776468055077,0.05524576956668294
20250906_143639,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,RK45,3.6008858175130815e-06,3.6333718232269644e-06,3.6009520262064238e-06,0.048843743723504196,0.09268026066653814,0.0552368567386158
20250906_143639,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,RKG,2159.720345308263,2159.720349610835,2159.720345308263,14601216895.881832,14799339139.295135,14601761587.41547
20250906_143639,electron,100000000.0,5.0,0.0,0.0,90.0,90.0,1000,12.1,PS,1.9247855329660467e-15,2.0889145319011357e-15,1.9276172487605927e-15,0.048840063444188175,0.09267675257928018,0.05523364810102129
20250906_150827,electron,10000.0,8.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,9.094823990699594e-12,9.144318850616152e-12,9.094862730724104e-12,0.00032655661324529903,0.0006535290681169636,0.0004000582836855263
20250906_151238,proton,10000.0,4.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,1.4831878002169857e-11,1.495100617130729e-11,1.4832062139115268e-11,0.0035081704671518395,0.0070115240070664124,0.004295626146112971
20250906_152257,proton,10000.0,4.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,1.4831878002169857e-11,1.495100617130729e-11,1.4832062139115268e-11,0.0035081704671518395,0.0070115240070664124,0.004295626146112971
20250906_152856,proton,100000000.0,4.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,5.028352503487319e-12,5.063847368412394e-12,5.028386685892388e-12,0.9517590285235605,1.750779808167778,1.1320234248261027
20250906_153106,proton,100000000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,1.4236145249868188e-11,1.423614524986818e-11,1.4236145249868183e-11,5777699745660887.0,5865091784452478.0,5777918588848316.0
